"Name","Version","License","Author","URL"
"Babel","2.12.1","BSD License","Armin Ronacher","https://babel.pocoo.org/"
"Jinja2","3.1.2","BSD License","Armin Ronacher","https://palletsprojects.com/p/jinja/"
"Mako","1.2.4","MIT License","Mike Bayer","https://www.makotemplates.org/"
"MarkupSafe","2.1.2","BSD License","Armin Ronacher","https://palletsprojects.com/p/markupsafe/"
"Pillow","9.5.0","Historical Permission Notice and Disclaimer (HPND)","Jeffrey A. Clark (Alex)","https://python-pillow.org"
"Pint","0.21","BSD License","""Hernan E. Grecco"" <hernan.grecco@gmail.com>","https://github.com/hgrecco/pint"
"PyJWT","2.7.0","MIT License","Jose Padilla","https://github.com/jpadilla/pyjwt"
"PyPrind","2.11.2","BSD License","Sebastian Raschka","https://github.com/rasbt/pyprind"
"PySocks","1.7.1","BSD","Anorov","https://github.com/Anorov/PySocks"
"PyYAML","6.0","MIT License","Kirill Simonov","https://pyyaml.org/"
"Pygments","2.15.1","BSD License","Georg Brandl <georg@python.org>","https://pygments.org"
"SQLAlchemy","2.0.15","MIT License","Mike Bayer","https://www.sqlalchemy.org"
"Send2Trash","1.8.2","BSD License","Andrew Senetar","https://github.com/arsenetar/send2trash"
"Unidecode","1.3.6","GNU General Public License v2 or later (GPLv2+)","Tomaz Solc","UNKNOWN"
"Whoosh","2.7.4","BSD License","Matt Chaput","http://bitbucket.org/mchaput/whoosh"
"XlsxWriter","3.1.1","BSD License","John McNamara","https://github.com/jmcnamara/XlsxWriter"
"aiofiles","22.1.0","Apache Software License","Tin Tvrtkovic","https://github.com/Tinche/aiofiles"
"aiosqlite","0.19.0","MIT License","Amethyst Reese <amy@n7.gg>","UNKNOWN"
"alembic","1.11.1","MIT License","Mike Bayer","https://alembic.sqlalchemy.org"
"anyio","3.6.2","MIT License","Alex Grönholm","UNKNOWN"
"appdirs","1.4.4","MIT License","Trent Mick","http://github.com/ActiveState/appdirs"
"argon2-cffi","21.3.0","MIT License","Hynek Schlawack <hs@ox.cx>","https://github.com/hynek/argon2-cffi/blob/main/CHANGELOG.md"
"argon2-cffi-bindings","21.2.0","MIT License","Hynek Schlawack","https://github.com/hynek/argon2-cffi-bindings"
"asteval","0.9.29","MIT License","Matthew Newville","https://github.com/newville/asteval"
"asttokens","2.2.1","Apache 2.0","Dmitry Sagalovskiy, Grist Labs","https://github.com/gristlabs/asttokens"
"astunparse","1.6.3","BSD License","UNKNOWN","https://github.com/simonpercivall/astunparse"
"async-generator","1.10","Apache Software License; MIT License","Nathaniel J. Smith","https://github.com/python-trio/async_generator"
"attrs","23.1.0","MIT License","Hynek Schlawack <hs@ox.cx>","https://www.attrs.org/en/stable/changelog.html"
"backcall","0.2.0","BSD License","Thomas Kluyver","https://github.com/takluyver/backcall"
"backports.functools-lru-cache","1.6.4","MIT License","Raymond Hettinger","https://github.com/jaraco/backports.functools_lru_cache"
"beautifulsoup4","4.12.2","MIT License","Leonard Richardson <leonardr@segfault.org>","https://www.crummy.com/software/BeautifulSoup/bs4/"
"bleach","6.0.0","Apache Software License","UNKNOWN","https://github.com/mozilla/bleach"
"blinker","1.6.2","MIT License","Jason Kirtland <jek@discorporate.us>","https://blinker.readthedocs.io"
"brightway25","1.0.6","BSD License","Chris Mutel","https://github.com/brightway-lca/brightway25"
"bw-migrations","0.2","BSD License","Chris Mutel","https://github.com/brightway-lca/bw_migrations"
"bw-processing","0.8.2","BSD License","Chris Mutel","https://github.com/brightway-lca/bw_processing"
"bw2analyzer","0.11.5","BSD License","Chris Mutel","https://bitbucket.org/cmutel/brightway2-analyzer"
"bw2calc","2.0.dev13","BSD License","Chris Mutel","https://bitbucket.org/cmutel/brightway2-calc"
"bw2data","4.0.dev18","BSD License","Chris Mutel","https://github.com/brightway-lca/brightway2-data"
"bw2io","0.9.dev17","BSD License","Chris Mutel","https://github.com/brightway-lca/brightway2-io"
"bw2parameters","1.1.0","BSD-3-Clause","Chris Mutel","https://github.com/brightway-lca/brightway2-parameters"
"certifi","2023.5.7","Mozilla Public License 2.0 (MPL 2.0)","Kenneth Reitz","https://github.com/certifi/python-certifi"
"certipy","0.1.3","BSD License","Thomas Mendoza","https://github.com/LLNL/certipy"
"cffi","1.15.1","MIT License","Armin Rigo, Maciej Fijalkowski","http://cffi.readthedocs.org"
"charset-normalizer","3.1.0","MIT License","Ahmed TAHRI","https://github.com/Ousret/charset_normalizer"
"colorama","0.4.6","BSD License","Jonathan Hartley <tartley@tartley.com>","https://github.com/tartley/colorama"
"comm","0.1.3","BSD License","Jupyter contributors","https://github.com/ipython/comm"
"conda","23.1.0","BSD-3-Clause","Anaconda, Inc.","https://github.com/conda/conda"
"conda-package-handling","2.0.2","UNKNOWN","Anaconda, Inc.","https://github.com/conda/conda-package-handling"
"conda_package_streaming","0.7.0","BSD License","""Anaconda, Inc. & Contributors"" <conda@continuum.io>","UNKNOWN"
"contourpy","1.0.7","BSD License","Ian Thomas","https://github.com/contourpy/contourpy"
"cryptography","40.0.2","Apache Software License; BSD License","The Python Cryptographic Authority and individual contributors","https://github.com/pyca/cryptography"
"cycler","0.11.0","BSD License","Thomas A Caswell","https://github.com/matplotlib/cycler"
"debugpy","1.6.7","Eclipse Public License 2.0 (EPL-2.0); MIT License","Microsoft Corporation","https://aka.ms/debugpy"
"decorator","5.1.1","BSD License","Michele Simionato","https://github.com/micheles/decorator"
"defusedxml","0.7.1","Python Software Foundation License","Christian Heimes","https://github.com/tiran/defusedxml"
"docopt","0.6.2","MIT License","Vladimir Keleshev","http://docopt.org"
"entrypoints","0.4","MIT License","Thomas Kluyver","https://github.com/takluyver/entrypoints"
"et-xmlfile","1.1.0","MIT License","See ATUHORS.txt","https://foss.heptapod.net/openpyxl/et_xmlfile"
"executing","1.2.0","MIT License","Alex Hall","https://github.com/alexmojaki/executing"
"fasteners","0.17.3","Apache Software License","Joshua Harlow","https://github.com/harlowja/fasteners"
"fastjsonschema","2.17.1","BSD License","Michal Horejsek","https://github.com/horejsek/python-fastjsonschema"
"flit_core","3.9.0","BSD License","Thomas Kluyver & contributors <thomas@kluyver.me.uk>","https://github.com/pypa/flit"
"fonttools","4.39.4","MIT License","Just van Rossum","http://github.com/fonttools/fonttools"
"fs","2.4.16","MIT License","Will McGugan","https://github.com/PyFilesystem/pyfilesystem2"
"greenlet","2.0.2","MIT License","Alexey Borzenkov","https://greenlet.readthedocs.io/"
"idna","3.4","BSD License","Kim Davies <kim@cynosure.com.au>","https://github.com/kjd/idna"
"importlib-metadata","6.6.0","Apache Software License","Jason R. Coombs","https://github.com/python/importlib_metadata"
"importlib-resources","5.12.0","Apache Software License","Barry Warsaw","https://github.com/python/importlib_resources"
"ipykernel","6.23.1","BSD License","IPython Development Team <ipython-dev@scipy.org>","https://ipython.org"
"ipython","8.13.2","BSD License","The IPython Development Team","https://ipython.org"
"ipython-genutils","0.2.0","BSD License","IPython Development Team","http://ipython.org"
"jedi","0.18.2","MIT License","David Halter","https://github.com/davidhalter/jedi"
"json5","0.9.5","Apache Software License","Dirk Pranke","https://github.com/dpranke/pyjson5"
"jsonschema","4.17.3","MIT License","Julian Berman","https://github.com/python-jsonschema/jsonschema"
"jupyter-events","0.6.3","BSD License","Jupyter Development Team <jupyter@googlegroups.com>","http://jupyter.org"
"jupyter-telemetry","0.1.0","BSD License","Jupyter Development Team","http://jupyter.org"
"jupyter-ydoc","0.2.2","BSD 3-Clause License","Jupyter Development Team <jupyter@googlegroups.com>","https://jupyter.org"
"jupyter_client","8.2.0","BSD License","Jupyter Development Team <jupyter@googlegroups.com>","https://jupyter.org"
"jupyter_core","5.2.0","BSD License","Jupyter Development Team <jupyter@googlegroups.org>","https://jupyter.org"
"jupyter_server","2.5.0","BSD License","Jupyter Development Team <jupyter@googlegroups.com>","https://jupyter-server.readthedocs.io"
"jupyter_server_fileid","0.9.0","BSD License","""David L. Qiu"" <david@qiu.dev>","UNKNOWN"
"jupyter_server_terminals","0.4.4","BSD License","Jupyter Development Team <jupyter@googlegroups.com>","https://jupyter.org"
"jupyter_server_ydoc","0.6.1","BSD License","Jupyter Development Team <jupyter@googlegroups.com>","https://jupyter.org"
"jupyterhub","3.1.1","BSD License","Jupyter Development Team","https://jupyter.org"
"jupyterlab","3.6.1","BSD License","Jupyter Development Team","https://jupyter.org"
"jupyterlab-pygments","0.2.2","BSD","Jupyter Development Team","https://github.com/jupyterlab/jupyterlab_pygments"
"jupyterlab_server","2.22.1","BSD License","Jupyter Development Team <jupyter@googlegroups.com>","https://jupyterlab-server.readthedocs.io"
"kiwisolver","1.4.4","BSD License","The Nucleic Development Team <sccolbert@gmail.com>","https://github.com/nucleic/kiwi"
"libmambapy","1.3.1","UNKNOWN","QuantStack","https://github.com/mamba-org/mamba"
"lxml","4.9.2","BSD License","lxml dev team","https://lxml.de/"
"mamba","1.3.1","UNKNOWN","Wolf Vollprecht","https://github.com/mamba-org/mamba"
"matplotlib","3.7.1","Python Software Foundation License","John D. Hunter, Michael Droettboom","https://matplotlib.org"
"matplotlib-inline","0.1.6","BSD 3-Clause","IPython Development Team","https://github.com/ipython/matplotlib-inline"
"matrix-utils","0.2.5","BSD License","Chris Mutel","https://github.com/brightway-lca/matrix_utils"
"mistune","2.0.5","BSD License","Hsiaoming Yang","https://github.com/lepture/mistune"
"mrio-common-metadata","0.2.1","BSD License","Chris Mutel","https://github.com/brightway-lca/mrio_common_metadata"
